,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32
E213,C,D,B,B,E,A,E,A,A,C,E,B,B,C,B,D,E,D,,B,C,C,D,C,C,A,C,,D,D,B,A
E214,D,D,B,B,A,A,E,A,D,B,D,C,C,,C,C,E,D,E,B,B,E,,,A,E,D,C,B,B,A,C
E215,C,D,D,B,A,B,E,E,D,B,D,C,C,C,C,C,E,E,D,B,C,B,D,D,D,C,D,C,C,A,A,B
E216,D,D,,B,A,B,E,,D,A,,,C,,C,C,C,D,A,B,C,C,,,A,,D,C,C,C,A,B
E217,C,D,,,,,E,C,D,D,,,C,,,A,E,,D,B,D,,B,,,,D,B,D,C,A,A
E218,C,E,E,C,A,A,D,E,D,A,E,D,D,A,B,C,E,C,D,D,C,C,D,C,,D,A,A,D,,A,E
E219,D,D,,B,C,A,B,E,D,A,E,,A,,C,C,A,D,B,B,C,B,D,D,A,,A,E,,A,A,A
E220,B,C,E,C,E,,C,B,B,D,C,,,B,C,C,B,C,C,E,C,C,E,,B,C,B,C,A,C,C,B
E221,D,A,,B,A,D,E,B,D,A,,,C,,C,A,E,E,B,B,B,,,A,A,C,D,,D,E,D,A
E222,D,A,E,B,A,E,E,C,D,A,C,A,C,D,C,C,B,D,D,B,C,B,A,C,E,,A,C,B,B,A,
E223,,,,,,,B,,,,,,A,,A,,A,E,,B,B,,C,,,,A,,,,,
E224,D,D,E,D,E,A,A,B,D,C,,E,,E,B,D,C,D,,,E,E,E,,,C,A,,D,,A,B
E225,,,,D,E,,D,,D,D,E,,,,B,D,,C,,B,B,,,,,,,,D,,A,
E226,C,D,C,B,E,,A,B,D,D,E,D,C,D,D,A,A,C,A,B,E,E,D,,B,A,D,,A,C,A,B
E227,D,C,,B,E,D,D,,D,,,,C,,C,A,E,D,A,B,D,,,,D,,A,,,A,A,A
E228,A,D,E,B,C,C,D,,D,A,D,,C,,C,D,B,B,A,B,E,E,D,D,D,C,D,,D,,A,
E229,A,,,C,C,,A,A,D,D,E,,,D,C,B,E,A,,B,B,B,,,,,A,,,,,
E230,,D,B,E,E,C,E,D,D,B,D,,C,,C,C,A,A,D,B,,B,A,,,,A,B,,,C,
E231,E,D,D,A,A,C,E,B,D,A,,D,C,C,C,A,E,D,B,B,E,E,A,D,A,D,D,C,D,C,A,E
E232,D,B,E,D,B,E,A,B,D,A,E,E,D,E,D,D,D,E,D,E,C,E,B,B,B,C,A,B,A,C,C,A
E233,D,D,D,B,E,C,A,C,D,A,D,A,C,D,C,C,E,D,D,B,D,B,D,C,A,A,A,C,C,B,A,A
E234,D,D,C,E,E,B,A,B,D,A,D,,C,C,D,C,E,D,A,B,C,B,C,D,A,B,D,C,C,B,A,D
E235,D,D,,,C,A,,C,C,A,D,C,C,,D,C,,A,D,B,E,E,A,C,A,C,A,,D,A,,D
E236,A,D,E,,E,A,A,B,D,C,B,B,C,B,B,D,A,C,,B,B,C,E,A,D,A,A,C,C,B,A,B
E237,,D,C,E,E,D,,C,C,B,D,,E,,B,C,D,E,B,B,C,B,D,,A,B,E,C,,B,A,A
E238,D,D,C,B,A,B,E,B,C,D,C,C,E,E,C,C,E,D,B,B,B,C,D,D,C,C,A,C,B,E,A,C
E239,D,D,,A,E,A,A,E,D,D,D,A,C,,B,C,E,E,,A,C,,B,E,D,,A,,E,,A,
E240,A,D,A,,E,C,D,D,,,,B,E,A,,,A,D,E,E,A,D,,B,B,C,,D,C,C,,C
E241,,C,C,D,C,A,D,E,A,D,E,,E,C,,D,C,C,,B,D,C,D,D,E,,A,B,C,B,C,C
E242,,D,E,A,A,E,E,,D,A,E,C,A,,D,C,B,E,D,B,B,E,D,,A,A,A,C,B,,A,B
E243,D,D,C,,A,D,A,E,D,A,D,C,E,,B,C,A,B,A,B,D,C,D,D,E,C,A,C,C,B,A,B
E244,A,C,E,B,,D,E,A,D,B,D,,C,D,C,C,E,D,B,B,C,C,D,D,E,C,D,C,E,B,D,A
E245,D,D,E,B,E,C,D,A,D,C,B,E,C,D,E,C,B,E,A,B,E,E,B,D,E,B,C,C,D,E,A,C
E246,C,E,C,B,C,B,E,B,D,D,C,D,C,E,B,A,E,E,D,B,D,A,C,D,D,A,D,C,B,B,E,B
E247,B,,E,E,E,,A,D,D,B,C,B,,,A,,E,C,,B,A,C,A,,,B,E,,A,B,E,B
E248,,,,,,,D,,A,C,,,,,A,,D,,,,,,,,,,B,,,,E,
E249,D,B,B,,A,A,A,D,D,A,,E,,C,B,B,E,C,,B,B,C,,,E,,A,,,D,D,A
E250,D,D,,C,,E,E,C,E,D,D,,C,C,C,C,A,E,A,B,,B,D,,A,,A,C,D,A,D,C
E251,A,D,D,A,C,C,D,A,D,A,D,B,C,A,A,A,E,D,D,B,A,B,C,A,C,D,A,C,D,C,B,C
E252,,B,,C,E,A,A,E,D,C,E,B,C,,,A,E,B,,,,,,A,A,,A,,D,,,
E253,D,D,D,B,A,D,E,A,D,A,D,A,C,,C,C,E,D,B,B,C,B,D,D,D,C,D,C,B,A,A,A
E254,D,A,D,B,E,C,D,,D,A,D,,C,,A,D,E,E,D,B,B,,B,C,A,,A,C,C,,B,C
E255,D,B,,,E,D,E,E,D,D,B,E,D,B,D,C,E,A,C,B,C,B,C,A,,E,E,B,A,A,B,C
E256,D,C,,,A,E,A,A,D,D,E,,B,,B,E,E,D,,D,C,D,E,,,,E,,B,E,D,
E257,A,D,,A,E,,D,C,D,D,,,D,,D,A,E,E,,,B,,A,,,,A,B,D,,,
E258,A,D,D,B,A,C,D,A,D,A,D,,C,C,D,C,B,D,A,B,B,C,D,C,A,C,D,C,E,D,A,A
E259,C,B,,A,E,,E,,D,A,C,,C,,C,D,A,E,B,B,A,,B,,B,,A,,C,B,A,A
E260,D,,,C,E,B,,B,D,D,C,,D,D,C,A,D,D,,B,,,C,C,E,,E,,D,B,A,E
E261,D,E,D,C,E,A,E,B,D,C,C,A,C,A,D,C,A,D,A,B,D,E,D,E,A,A,D,B,D,C,A,C
E262,,D,,A,C,,A,A,A,A,D,,B,,C,A,E,E,D,B,B,C,C,,A,,A,E,,,,
E263,A,C,C,A,E,E,E,A,D,A,D,A,C,B,A,D,A,D,D,B,C,C,D,D,D,E,E,D,B,B,A,C
E264,D,C,C,A,A,D,D,D,B,A,C,E,E,D,C,A,C,B,D,D,D,E,D,D,B,C,B,E,A,A,C,B
E265,C,B,D,A,E,A,E,E,D,A,D,,B,,B,A,E,B,D,B,C,E,A,D,,D,B,C,D,,A,
E266,,,,D,E,B,D,A,D,A,,B,,C,E,D,D,D,A,B,A,A,,,B,A,A,,A,,B,E
E267,D,B,,B,,,E,,D,D,,,A,D,C,C,,E,E,B,E,,D,,C,,A,,,B,A,A
E268,B,D,D,C,E,E,E,B,D,C,D,A,D,B,B,C,E,E,A,B,D,B,D,C,A,C,B,B,B,C,E,A
E269,D,,,E,E,B,,,A,C,,,A,,,A,A,E,D,B,E,,A,,A,,D,,E,,D,
E270,D,D,C,A,A,C,A,A,D,A,E,B,D,D,B,D,B,E,D,B,A,E,D,C,B,A,B,B,C,A,E,E
E271,C,D,D,E,A,B,D,C,D,A,D,C,E,D,C,C,B,E,B,B,B,B,C,C,A,,B,B,D,B,D,C
E272,D,D,D,E,E,,A,C,D,D,E,C,D,,A,C,D,,,B,C,C,A,D,A,C,A,,C,B,A,B
E273,B,D,D,C,E,A,D,C,A,A,B,C,D,E,,D,D,C,D,B,B,E,B,,,,B,A,B,D,C,E
E274,A,D,,B,E,D,B,,D,A,D,,A,C,C,B,A,D,C,B,E,B,D,D,A,C,D,C,C,C,A,A
E275,A,E,D,B,E,C,A,A,D,A,,D,E,,C,D,E,A,D,B,E,C,C,D,A,C,A,C,D,E,B,E
E276,B,,,A,,,A,A,D,A,E,A,B,,B,A,A,C,A,B,,,B,,A,,,,,,A,A
E277,A,D,D,B,A,C,E,A,D,A,D,A,C,,B,C,A,D,E,B,D,B,D,D,A,A,D,C,C,B,A,A
E278,A,C,,B,E,E,E,A,C,A,D,,D,A,C,C,D,E,B,B,D,B,D,D,A,,D,C,C,C,,D
E279,A,D,B,D,E,D,D,B,C,A,,,C,C,C,C,,E,B,B,D,C,,D,A,A,D,C,D,B,A,C
E280,B,D,E,C,A,D,C,E,B,A,C,B,D,D,B,E,E,A,D,D,C,A,B,E,C,A,A,D,B,D,C,A
E281,A,D,D,B,A,D,D,C,D,B,D,E,A,C,C,C,,D,B,B,C,A,D,D,C,,A,C,B,C,A,D
E282,,D,,,C,,A,,D,B,D,,,,D,C,A,C,,C,,,A,D,,,A,,,,,C
E283,A,C,,E,A,D,D,D,D,,D,,B,A,C,C,A,D,E,B,D,C,D,A,E,,A,D,,A,,D
E284,A,B,B,C,E,,B,A,D,D,C,,E,B,B,A,E,A,C,,D,A,E,D,A,D,A,,D,C,C,C
E285,,D,D,B,A,E,E,E,D,E,D,C,D,D,C,C,A,D,D,B,D,A,D,C,A,C,A,C,C,A,A,A
E286,A,D,D,B,E,D,B,B,A,B,D,C,D,C,D,B,A,D,A,B,E,B,D,E,A,A,D,B,D,B,A,A
E287,A,D,D,A,E,D,D,D,D,C,E,C,C,B,C,C,E,D,D,B,B,C,D,E,D,B,A,B,E,D,A,C
E288,,D,C,C,A,A,E,E,D,C,D,,D,,B,C,A,D,A,D,E,C,D,,E,A,A,B,E,B,D,C
E289,A,E,,A,E,D,B,D,D,D,E,B,A,D,B,B,A,E,D,A,A,D,B,D,D,,C,E,B,C,D,E
E290,A,D,D,B,E,E,E,A,D,A,D,B,C,A,B,C,A,C,B,B,C,B,D,D,D,A,D,C,B,B,A,A
E291,A,D,C,E,A,C,E,D,D,D,C,B,C,C,C,C,E,A,D,B,E,B,C,D,C,E,A,C,D,E,A,A
E292,,D,,A,E,C,,,D,A,,,C,,C,D,C,D,,B,,B,D,,A,,D,,B,,A,A
E293,D,E,E,C,A,B,E,E,D,A,D,A,B,A,C,D,A,C,A,A,D,A,A,E,A,E,A,B,D,E,B,
E294,D,D,E,C,A,D,D,,D,D,,,C,C,C,A,E,A,,B,D,,D,B,D,,A,,B,,D,A
E295,C,A,A,A,D,A,A,A,D,D,A,A,B,A,D,C,D,B,A,D,B,C,A,E,,,D,A,D,C,A,A
E296,D,D,,B,,C,E,B,D,D,E,,,,C,A,E,,,B,,,,,C,,A,,,B,E,A
E297,D,,,A,E,A,D,D,D,C,,,C,,B,C,E,A,A,B,B,E,,,,,D,C,,D,A,A
E298,,D,,C,,C,A,,D,A,,,A,C,A,C,E,D,,B,D,,C,,,,A,,D,,A,D
E299,B,C,C,E,A,D,D,E,C,A,E,E,,A,C,C,,D,,D,A,C,E,,,,B,,,B,C,C
E300,B,B,,C,E,B,D,A,D,C,,C,B,,B,D,,E,B,B,E,C,,,,,C,,E,B,A,C
E301,D,B,D,C,,E,E,,D,D,D,,,D,C,A,B,,C,B,,C,D,,A,C,A,,A,B,,C
E302,C,D,,C,E,C,E,C,C,B,D,C,C,C,B,C,C,C,,B,A,B,C,D,A,,A,,C,,A,D
E303,E,D,C,C,A,A,D,A,D,A,D,E,A,D,E,C,E,A,A,B,C,B,E,A,A,D,A,B,D,B,E,C
E304,B,D,E,C,E,E,A,A,D,C,A,D,B,B,A,C,D,D,A,C,E,C,C,A,C,E,B,E,C,C,C,C
E305,A,B,D,B,E,C,E,A,D,D,B,C,A,B,C,D,E,D,D,B,D,A,B,A,A,B,A,D,B,D,B,A
E306,A,A,C,E,C,A,D,B,E,C,E,C,B,B,A,D,C,A,D,B,E,C,D,B,E,A,A,B,B,A,E,D
E307,D,,,C,A,A,B,E,D,C,,,C,,A,A,B,E,D,B,E,C,A,,,,,C,B,,A,
E308,A,C,D,B,E,D,E,E,D,B,D,A,A,C,D,C,E,B,A,B,D,B,D,D,A,A,A,C,D,A,A,C
E309,B,D,C,C,E,D,E,D,C,B,E,A,C,,C,B,E,A,C,B,B,C,D,,A,,A,,B,E,E,D
E310,,D,E,B,E,D,E,,D,B,D,A,,,C,C,D,A,,B,D,B,D,E,A,,A,,,B,E,
E311,C,D,D,B,A,A,D,E,D,D,D,E,C,C,A,C,E,E,D,B,A,B,D,D,D,C,D,C,B,D,A,B
E312,E,C,E,C,E,,C,C,D,D,C,,D,C,A,D,C,C,D,,E,E,B,C,C,,B,,D,C,C,D
E313,D,D,,B,A,D,B,A,D,D,D,B,A,,C,A,B,D,,B,B,C,D,D,D,A,A,C,C,,D,
E314,C,D,C,B,C,A,A,C,D,B,,E,A,,D,C,E,B,D,B,C,C,A,D,D,D,A,C,B,,E,D
E315,,D,D,A,,D,D,C,D,A,D,,C,,C,A,A,B,B,B,D,B,C,C,A,,D,A,E,,A,B
E316,D,D,B,B,E,D,E,,D,A,D,,C,C,C,A,,D,E,B,E,B,A,D,A,C,D,C,D,B,A,A
E317,C,E,,,,,D,E,,B,,,,,,,,C,,,,D,,D,,,,,E,,,
E318,B,,C,B,E,,D,C,D,A,B,E,D,B,B,B,E,D,,A,B,,A,A,,,E,B,A,,,
E319,E,A,A,,E,C,E,D,C,,B,A,B,D,C,B,B,D,D,B,C,E,D,B,E,A,B,D,E,C,A,D
E320,C,D,C,B,A,D,,E,D,B,D,,C,C,C,D,A,D,C,B,B,B,C,D,A,,A,C,E,C,C,A
E321,C,D,C,E,A,A,E,,D,D,D,,E,B,A,C,B,D,,B,A,E,D,D,B,A,A,C,D,E,A,A
E322,D,D,D,B,A,D,E,E,D,A,D,C,C,C,C,C,B,B,E,B,D,A,C,D,A,A,D,C,C,B,A,A
E323,B,C,,E,D,D,D,B,D,D,,,D,,B,C,A,D,A,B,C,,C,D,A,,D,,A,A,,E
E324,A,D,D,A,A,D,E,E,D,A,D,C,C,C,C,C,A,A,E,B,D,C,D,D,A,C,A,C,C,A,A,A
E325,A,C,E,B,A,A,E,,D,B,C,B,B,B,C,D,E,A,A,B,B,,A,D,A,,D,,D,,A,C
E326,A,D,,B,A,D,E,,D,A,D,,C,D,C,A,E,B,D,B,,,D,,A,,A,C,C,E,D,A
E327,,D,D,B,A,C,E,E,D,A,D,A,C,C,C,C,E,A,E,B,C,B,D,C,A,C,D,C,C,A,A,A
E328,A,D,E,A,A,C,E,,C,A,D,B,C,,C,C,E,D,A,B,B,B,D,D,A,C,D,C,,C,B,C
E329,E,D,D,B,E,D,D,E,D,A,D,A,A,C,C,C,A,D,E,B,A,B,D,D,A,C,A,C,B,E,A,A
E330,C,D,D,A,A,C,E,E,D,B,D,E,E,D,C,C,E,E,,B,B,A,B,D,A,A,D,C,D,B,A,C
E331,E,D,D,B,C,A,E,E,D,B,E,A,E,C,E,C,E,A,,B,C,,D,D,A,A,D,B,B,,A,
E332,C,D,A,B,A,D,E,E,D,D,E,B,C,,C,C,D,A,D,B,C,B,D,D,C,C,A,B,C,B,A,D
E333,C,C,E,B,E,D,D,C,D,D,,,C,A,C,C,E,D,D,D,A,,C,B,D,,D,,C,A,B,C
E334,A,D,C,B,A,A,E,E,D,B,D,C,A,D,D,C,E,C,D,B,D,B,D,D,A,C,A,C,C,B,A,D
E335,D,D,,E,,D,D,,D,A,,D,,B,C,A,A,E,D,B,,E,E,,C,C,A,B,,,C,D
E336,C,D,B,B,A,D,,E,D,B,D,C,C,C,C,A,E,B,D,B,B,B,D,C,A,C,D,C,B,D,A,A
E337,E,D,D,A,A,B,D,E,D,A,E,,A,,C,C,E,E,D,B,E,B,D,D,D,C,D,C,D,B,A,D
E338,D,D,D,A,E,E,E,E,D,C,E,E,A,D,A,B,E,C,D,B,C,A,B,C,C,E,A,A,A,D,C,A
E339,,D,D,E,,A,D,E,D,A,D,C,A,D,C,C,B,,,B,,B,,C,A,C,A,E,B,A,,A
E340,,B,C,C,A,,E,C,D,D,,B,A,,A,D,E,A,D,B,B,B,B,,E,E,D,,A,A,A,B
E341,C,A,,B,E,,A,,D,C,,,,E,B,,C,A,,B,A,C,,,,,,A,E,B,,
E342,D,A,D,A,A,B,D,A,D,B,D,A,C,C,C,C,E,D,D,B,D,E,D,D,A,A,A,C,D,A,A,C
E343,D,,B,C,A,,A,C,D,C,B,,B,B,B,C,E,C,,B,C,,C,D,A,B,A,C,E,E,A,E
E344,B,E,E,C,E,C,A,E,E,D,E,C,E,D,E,D,D,B,D,B,E,E,A,B,C,E,D,E,E,D,C,B
E345,B,A,C,B,E,,D,E,D,B,,,A,A,A,D,,D,C,B,A,B,D,E,E,C,A,D,D,D,A,
E346,,D,,B,E,D,A,E,D,B,E,,,,C,B,E,A,D,B,B,,E,,D,,A,B,D,,,
E347,C,D,D,B,A,B,A,E,D,A,D,A,A,D,B,C,E,C,B,B,E,B,E,C,A,A,A,C,C,A,A,B
E348,B,,E,C,,E,D,,D,A,E,,E,E,B,,E,C,D,B,D,E,C,,D,B,B,C,,D,,
E349,B,B,E,C,B,B,D,C,D,A,D,D,C,E,D,A,C,D,A,B,C,E,B,C,A,B,A,C,E,B,A,B
E350,D,B,,B,E,D,D,B,D,D,E,,C,D,C,A,C,C,B,B,,C,B,E,D,,A,A,E,,A,
E351,B,,,B,,E,E,,D,D,E,,C,C,B,D,E,,,B,,,D,,A,C,C,C,D,,A,
E352,E,D,D,A,E,D,E,E,D,E,B,A,C,A,C,C,E,C,B,B,E,C,D,D,E,A,D,D,C,E,D,D
E353,,D,D,A,E,A,E,C,D,D,E,,,,A,A,A,D,A,,E,C,,,,,D,,A,B,A,C
E354,E,D,A,B,A,,D,,D,C,,,C,B,C,A,E,B,D,B,E,B,E,,A,,D,C,C,E,E,
E355,A,A,C,C,E,E,A,D,D,D,B,B,C,A,C,A,D,D,D,B,D,A,B,E,A,A,D,B,E,B,E,E
E356,B,D,D,,A,,D,,D,A,D,C,C,,B,C,C,B,D,B,C,B,B,D,A,C,A,C,D,C,E,
E357,D,B,D,B,A,C,A,E,D,A,D,A,B,,C,C,D,D,,B,B,C,D,,A,A,A,C,B,B,A,D
E358,A,D,D,B,A,D,E,E,D,A,D,C,C,C,C,C,A,D,E,B,C,B,D,D,A,C,D,C,C,A,A,A
E359,A,E,A,B,D,B,E,E,C,D,D,E,A,B,C,D,B,D,C,B,D,B,A,B,A,D,B,C,D,C,A,C
E360,A,D,,A,A,,A,E,D,D,D,A,,,B,D,E,C,D,B,C,C,C,D,,D,D,B,D,C,A,A
E361,C,D,B,D,E,A,E,A,D,B,E,E,B,C,E,D,C,C,D,E,D,C,D,A,B,A,A,B,E,E,D,B
E362,D,D,D,B,A,D,A,E,C,A,D,C,C,D,C,C,A,E,B,B,E,C,E,D,A,C,D,C,B,A,A,A
E363,,D,C,A,,,E,,C,D,,,,,C,D,B,D,E,,,C,C,,A,,A,,,,A,
E364,A,D,E,D,C,B,E,E,D,C,A,A,D,A,A,D,E,C,A,B,E,C,E,E,D,C,A,B,D,B,E,C
E365,D,,,C,,,E,A,D,C,,,,C,,,D,A,A,D,D,,C,,,,A,E,,,A,
E366,B,E,C,D,E,D,E,C,D,D,D,B,C,,C,A,C,D,D,B,C,E,C,A,A,A,A,A,C,B,D,C
E367,C,D,,C,C,C,D,,D,A,B,,A,D,C,C,E,D,,B,E,B,D,A,D,A,A,C,,B,B,D
E368,A,D,D,B,C,A,E,,D,A,C,A,D,A,C,B,E,A,D,B,E,C,D,,E,A,A,,B,A,A,C
E369,A,B,,A,,,,,D,D,D,,,,A,A,E,,D,B,,,,,,,,,D,,A,
E370,D,D,D,C,D,A,A,E,D,E,D,E,C,B,C,D,E,C,D,B,E,E,B,D,D,A,A,C,D,B,E,B
E371,,D,,B,E,,D,,D,D,D,B,A,,C,D,E,E,A,B,A,C,C,D,E,C,A,,C,,A,E
E372,D,D,E,B,A,B,E,C,D,A,E,A,A,A,C,A,A,C,D,B,C,B,D,D,A,A,D,C,B,C,A,D
E373,B,D,E,B,E,C,E,C,D,A,E,,D,D,C,B,C,D,D,B,E,C,A,D,C,,A,B,C,C,A,B
E374,,D,B,C,E,C,,E,C,B,D,,C,B,C,,,A,,B,E,,D,D,,,D,C,D,,E,E
E375,B,D,D,B,A,D,,,D,A,D,A,C,D,C,C,E,B,E,B,D,B,D,D,A,C,D,C,C,B,A,A
E376,,D,E,,E,,D,,D,C,,,B,,,B,,,,,,E,,,,,A,B,,,E,
E377,B,D,C,C,E,A,D,C,D,E,E,E,B,C,A,A,E,E,D,D,C,C,C,C,C,E,D,A,B,C,E,B
E378,B,D,C,C,D,A,D,B,D,D,E,C,B,A,E,C,E,C,D,B,D,B,B,D,A,B,A,C,D,A,E,B
E379,B,B,D,B,A,D,A,B,D,B,E,C,C,C,C,C,A,D,B,B,A,B,D,C,A,C,D,C,E,C,A,C
E380,D,C,C,E,D,B,B,C,B,D,,,C,C,,C,B,B,,B,B,,A,,A,,A,E,C,B,,C
E381,A,D,C,B,A,E,D,A,C,A,E,E,C,C,C,C,C,D,A,B,D,B,D,D,A,C,D,C,C,B,D,A
E382,,,,A,C,E,A,,D,C,,,A,,,D,,A,,B,,D,,,A,,B,,B,,E,A
E383,D,D,B,B,A,D,E,E,D,A,D,,C,C,C,C,C,A,C,B,,B,C,D,A,C,E,C,B,B,A,D
E384,D,E,,C,,,A,,D,D,,,E,,,D,B,A,,B,E,D,E,,E,,B,,C,,A,A
E385,D,C,D,B,A,D,A,B,D,A,D,A,B,C,C,C,E,A,B,B,D,,C,C,A,C,D,C,B,,A,A
E386,E,D,,C,C,E,C,,D,D,D,D,C,,D,D,E,D,A,B,,,,C,D,C,A,B,D,,,A
E387,A,D,C,E,D,E,D,E,D,B,D,D,C,D,D,A,E,A,D,B,C,C,A,D,A,C,D,C,B,B,A,D
E388,,D,E,,A,C,E,E,C,B,D,E,C,,C,C,,D,,B,E,,D,D,A,C,D,C,C,,B,
E389,D,D,,,C,A,D,,D,D,E,A,B,,C,B,D,A,,B,E,,B,,A,A,B,,E,A,A,C
E390,B,D,D,B,D,C,E,,D,A,D,,B,C,D,C,A,B,D,B,A,B,C,D,D,D,D,E,C,C,D,A
E391,A,D,D,B,A,D,E,E,D,A,D,E,C,C,C,C,A,D,A,B,C,B,D,D,A,C,A,C,D,D,B,A
E392,D,D,,B,E,E,E,,D,,D,,,,C,,E,A,E,B,D,B,,,A,,A,,B,C,,A
E393,D,,E,E,,D,D,D,D,A,C,,B,B,A,C,D,C,A,A,,E,D,B,B,,,E,C,A,B,
E394,D,A,E,C,A,C,D,C,D,B,E,,D,B,C,D,E,E,A,B,E,C,A,B,A,A,,A,A,,,
E395,C,,C,B,,D,E,E,D,A,D,B,E,B,C,D,A,D,C,B,D,B,B,D,B,,A,C,C,C,A,B
E396,C,,,,,A,A,,D,C,E,,,,,A,B,D,,B,,,,,,,E,,,,A,
E397,A,D,D,,A,,D,B,C,D,D,D,E,C,E,C,E,D,,D,B,B,D,D,E,D,A,D,D,,D,D
E398,D,D,C,C,E,B,E,B,D,A,D,C,C,,C,A,E,A,D,D,D,C,C,D,D,A,A,D,C,E,A,B
E399,D,D,E,B,E,D,E,C,D,A,D,B,C,C,C,C,A,A,B,B,E,A,D,A,A,,A,C,B,C,A,A
E400,A,D,D,B,A,C,E,,D,A,D,B,A,,C,C,E,C,D,B,B,B,D,,A,C,A,D,C,B,A,C
E401,A,E,,,,,B,,D,D,,,E,,B,,E,C,,E,D,E,C,,,,A,,C,C,E,B
E402,,D,D,E,A,A,E,E,D,B,D,C,A,C,B,C,B,B,E,B,A,B,,D,A,A,A,C,C,A,A,C
E403,C,D,E,B,A,D,B,C,D,C,B,C,C,A,C,A,B,D,C,D,E,C,B,A,B,C,D,B,A,E,B,C
E404,,,,A,,A,,,D,D,,,,D,B,,E,A,,,,,,,,,A,,,,,
E405,C,D,D,C,A,A,D,A,C,D,D,A,C,C,A,D,E,D,E,C,B,C,C,B,A,D,A,C,D,A,D,D
E406,D,D,D,B,A,D,E,E,D,A,D,E,C,C,C,A,E,C,D,B,A,E,D,B,D,C,A,C,D,A,A,C
E407,B,D,C,E,A,D,E,E,D,A,D,A,C,C,B,C,A,E,D,B,A,A,A,C,A,A,A,C,D,B,A,B
E408,,D,,B,A,D,E,E,D,A,E,,C,,C,C,E,D,D,B,D,B,D,D,A,C,E,B,D,B,A,
E409,D,E,E,C,A,C,E,D,D,A,E,C,A,D,C,D,A,D,A,B,C,E,D,E,A,C,A,B,D,C,A,A
E410,E,D,A,A,D,E,A,C,D,D,B,A,B,A,C,B,E,D,D,A,E,E,D,,B,,D,E,D,C,E,D
E411,A,,,E,E,D,E,E,D,D,,,C,,,C,E,B,D,B,D,,D,,B,,D,C,A,B,A,D
E412,,,,A,,,A,,D,C,,,,,E,D,E,,,,,,C,,,,E,,D,,E,
E413,E,C,E,B,E,D,B,E,D,A,C,A,D,A,C,B,C,A,E,D,B,B,D,E,D,D,D,E,A,A,E,B
E414,C,D,C,B,A,D,A,E,D,A,D,D,C,E,B,C,E,D,B,B,C,B,E,D,A,C,D,C,D,B,A,A
E415,C,D,D,C,A,D,A,A,D,D,E,,E,C,A,B,E,A,A,C,B,A,,,D,,A,,,C,B,
E416,A,,B,C,E,A,D,E,D,D,C,,A,A,A,D,C,,D,B,C,B,D,D,,D,A,D,D,C,C,E
E417,,D,,E,A,A,B,E,D,A,B,,D,,B,C,C,A,D,B,B,,D,B,,,A,C,D,A,A,C
E418,,D,,B,A,D,B,,D,A,,,D,,D,C,A,A,E,B,,C,D,,A,,D,,,,A,A
E419,E,A,B,B,E,B,A,C,D,D,E,E,E,D,B,E,D,D,E,B,D,E,E,B,D,B,A,B,C,B,E,C
E420,D,E,,A,E,D,E,C,D,,,A,C,B,,C,E,C,A,,A,D,B,E,D,C,D,,D,,,E
E421,B,B,C,B,A,D,B,D,D,E,D,B,B,A,C,A,E,A,D,B,D,A,D,C,D,A,B,E,A,D,A,D
E422,A,E,C,C,E,C,B,C,E,E,C,C,D,A,D,B,E,C,A,E,E,A,B,C,C,D,C,C,B,B,C,A
E423,D,B,D,E,A,C,E,E,D,D,D,A,C,A,C,C,E,D,B,B,E,B,D,C,C,A,D,C,E,A,D,B
E424,E,B,D,A,E,,A,A,E,D,E,,C,C,A,A,E,,,B,A,C,D,,B,,D,B,A,C,D,C
E425,C,D,B,B,E,D,D,A,D,B,D,E,C,D,C,C,E,A,D,B,D,D,B,C,A,,A,C,D,C,A,A
E426,A,D,E,B,,D,E,,C,A,,,C,,C,D,B,B,C,B,E,C,D,C,D,,A,C,,,A,A
E427,,C,,,,,E,B,D,A,B,,C,,C,C,B,E,,A,,,,A,B,,,,D,,E,B
E428,B,A,D,A,A,A,D,C,D,A,C,E,D,C,C,A,E,A,D,B,E,E,C,D,A,D,A,A,B,A,A,D
E429,D,D,C,E,E,,E,E,D,A,D,C,A,C,B,C,E,B,A,B,E,B,D,D,C,A,A,B,E,C,A,C
E430,B,D,C,A,A,C,D,,D,D,D,E,C,,C,C,E,E,C,B,B,C,C,D,A,,,C,A,,A,
E431,A,D,D,B,A,E,D,B,C,,D,,C,D,C,A,E,D,B,B,C,B,D,D,C,D,A,C,B,A,A,A
E432,A,B,E,B,A,D,D,E,C,C,E,D,D,D,C,A,E,D,E,B,B,C,B,A,A,,B,E,C,C,A,C
E433,A,E,D,B,A,E,A,,C,E,D,A,C,C,C,A,E,D,D,B,C,B,D,D,C,C,D,C,C,C,A,A
E434,D,E,A,A,B,E,A,C,C,C,E,E,E,C,B,A,E,C,E,B,A,E,E,C,E,C,C,D,D,C,D,B
E435,C,D,D,B,A,D,B,A,D,D,D,C,A,B,C,A,E,D,D,B,B,C,C,D,C,C,D,D,D,A,A,B
E436,D,D,C,B,E,D,E,E,D,A,D,,C,C,C,C,D,D,D,B,D,B,D,,D,,A,B,D,C,A,B
